region,caseNumber,caseNumberFull,consulate,status,submitDate,statusDate,Issued,AP,Ready,Refused,Refused221g,InTransit,Transfer,NVC,2nlDate
AF,9165,2023AF9165,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9167,2023AF9167,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9168,2023AF9168,CSB,Issued,24-Oct-2021,13-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9169,2023AF9169,ABD,Issued,17-Oct-2021,03-Mar-2023,4,0,0,0,0,0,0,0,17-Jan-2023
AF,9172,2023AF9172,ALG,Issued,11-Oct-2021,03-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9174,2023AF9174,NRB,Issued,20-Oct-2021,27-Apr-2023,1,0,0,0,0,0,0,0,01-Mar-2023
AF,9175,2023AF9175,NRB,Ready,14-Oct-2021,25-Apr-2023,0,0,5,0,0,0,0,0,01-Mar-2023
AF,9176,2023AF9176,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9177,2023AF9177,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9181,2023AF9181,ALG,Issued,08-Nov-2021,11-Jan-2023,4,0,0,0,0,0,0,0,01-Jan-2023
AF,9183,2023AF9183,ALG,Issued,03-Nov-2021,11-Jan-2023,2,0,0,0,0,0,0,0,01-Jan-2023
AF,9185,2023AF9185,JHN,Refused,08-Nov-2021,17-Apr-2023,0,0,0,2,0,0,0,0,15-Feb-2023
AF,9187,2023AF9187,ALG,Ready,08-Nov-2021,10-Jan-2023,0,0,4,0,0,0,0,0,01-Jan-2023
AF,9188,2023AF9188,CSB,Ready,04-Nov-2021,27-Mar-2023,0,0,1,0,0,0,0,0,23-Mar-2023
AF,9189,2023AF9189,ADD,Ready,04-Nov-2021,20-Apr-2023,0,0,1,0,0,0,0,0,14-Apr-2023
AF,9190,2023AF9190,CRO,Issued,01-Nov-2021,01-May-2023,2,0,0,0,0,0,0,0,15-Feb-2023
AF,9192,2023AF9192,ALG,Issued,09-Nov-2021,04-May-2023,3,1,0,0,0,0,0,0,14-Feb-2023
AF,9193,2023AF9193,CSB,Issued,08-Oct-2021,31-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9194,2023AF9194,JHN,Ready,20-Oct-2021,06-Apr-2023,0,0,3,0,0,0,0,0,19-Jan-2023
AF,9195,2023AF9195,NRB,Ready,15-Oct-2021,17-Apr-2023,0,0,1,0,0,0,0,0,01-Mar-2023
AF,9196,2023AF9196,ALG,Issued,06-Nov-2021,09-Jan-2023,4,0,0,0,0,0,0,0,01-Jan-2023
AF,9197,2023AF9197,KHT,Issued,28-Oct-2021,09-Mar-2023,1,0,0,0,0,0,0,0,19-Jan-2023
AF,9199,2023AF9199,KIN,Issued,29-Oct-2021,27-Mar-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9200,2023AF9200,NRB,Ready,16-Oct-2021,24-Mar-2023,0,0,1,0,0,0,0,0,01-Mar-2023
AF,9201,2023AF9201,YDE,Issued,18-Oct-2021,11-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9203,2023AF9203,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9206,2023AF9206,CSB,Issued,11-Oct-2021,12-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9208,2023AF9208,ABD,Refused,09-Nov-2021,19-Jan-2023,0,0,0,4,0,0,0,0,01-Jan-2023
AF,9212,2023AF9212,DJI,Refused221g,26-Oct-2021,04-May-2023,0,0,0,0,1,0,0,0,01-Jan-2023
AF,9214,2023AF9214,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9215,2023AF9215,ALG,Issued,25-Oct-2021,11-Jan-2023,2,0,0,0,0,0,0,0,01-Jan-2023
AF,9219,2023AF9219,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9220,2023AF9220,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9221,2023AF9221,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9224,2023AF9224,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9225,2023AF9225,ALG,Issued,20-Oct-2021,04-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9226,2023AF9226,CSB,Issued,17-Oct-2021,13-Feb-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9229,2023AF9229,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9230,2023AF9230,CRO,Issued,24-Oct-2021,03-Apr-2023,1,0,0,0,0,0,0,0,15-Feb-2023
AF,9233,2023AF9233,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9234,2023AF9234,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9235,2023AF9235,NRB,Issued,23-Oct-2021,28-Apr-2023,4,0,1,0,0,0,0,0,01-Mar-2023
AF,9237,2023AF9237,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9240,2023AF9240,CSB,Issued,02-Nov-2021,25-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9245,2023AF9245,CSB,Issued,12-Oct-2021,27-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9246,2023AF9246,CSB,Refused221g,02-Nov-2021,05-Apr-2023,0,0,0,0,1,0,0,0,01-Jan-2023
